"Definition of a Rap Flow (Albee 3000) (feat. Amalie Bruun)","Legends Never Die","R.A. The Rugged Man","209000","5","17","","84"
"Die A Happy Man (Feat. Jane Tyrrell)","Feedback Loop","Tuka","296000","5","41","","4"
"Die My Bride","Beyond The Valley Of The Murderdolls [Special Edition]","Murderdolls","189000","5","14","","120"
"Different (feat. Living Legends)","Angelz W.I.T Dirty Faces","Sunspot Jonz","230000","5","21","","256"
"DLZ","Dear Science","TV On The Radio","228000","5","18","","43"
"Doe-Active","Doe-Active","A$AP Ferg","205000","5","11","","232"
"Domo23","Wolf","Tyler, The Creator","158000","5","21","","36"
"Don&#39;t Give up the Ship (feat. Kappa Gamma)","Connecticut Casual","Apathy","218000","5","39","","90"
"Don’t Wait Up","Life Death Time Eternal (Deluxe)","Tuka","251000","5","7","","114"
"Down in the Morgue","The Story of Kristy Killings","Snow White&#39;s Poison Bite","164000","5","16","","130"
"Drenched In Blood (feat. Planetary, Demoz, Crypt The Warchild, King Syze &amp; Vinnie Paz)","Army Of The Pharaohs: The Unholy Terror","Jedi Mind Tricks","234000","5","18","","60"
"Drive Desperate","Hold My Home","Cold War Kids","250000","5","24","","54"
"Drowning In Ecstasy","Little Mighty Rabbit","Lords of Acid","294000","5","9","","125"
"Drunk Dial (feat. Murs &amp; Grieves)","Strange Journey Volume Three","CunninLynguists","223000","5","26","","226"
"Duality","Vol. 3 (The Subliminal Verses)","Slipknot","252000","5","15","","153"
"Ducking &amp; Dodging","Sunbathing Animal","Parquet Courts","269000","5","34","","272"
"Egyptian In The Night","Struggle From The Subway To The Charts","Nuttin&#39; But Stringz","277000","5","7","","31"
"Elect the Dead","Elect the Dead","Serj Tankian","174000","5","15","","338"
"Equal Rights, Equal Lefts","Generation Doom (Deluxe Edition)","Otep","210000","5","21","","37"
"Everything Revival","Blowout","The So So Glos","223000","5","10","","172"
"Everytime","Breakfast At Fatboys","Butterfingers","262000","5","21","","220"
"Exhausted Love","E&amp;A","Eyedea &amp; Abilities","320000","5","10","","12"
"Exile On Frog Street","Pom Pom","Ariel Pink","287000","5","10","","173"
"Exoskeletons Remix (Deluxe Bonus) [feat. Apathy, Psych Ward &amp; Celph Titled]","The Underworld [Deluxe Edition]","Reel Wolf","281000","5","43","","62"
"Exostomp (Jump up High)","Grand Central","Flux Pavilion","212000","5","7","","7"
"Factories","PUP","PUP","269000","5","14","","176"
"Fall Foliage","Lovetune for Vacuum","Soap&amp;Skin","164000","5","1","","329"
"Feedback Loop","Feedback Loop","Tuka","260000","5","34","","194"
"First of My Kind","First of My Kind EP","Miles Kane","192000","5","18","","81"
"Flawed Beautiful Creatures (Summer Version)","BEcoming","Stacy Barthe","192000","5","13","","274"
"Fly Away","Blue Volume","Joelistics","244000","5","25","","141"
"Found Somebody Else","Kiss My Apocalypse","Abbe May","173000","5","17","","287"
"Fragile (feat. Kendrick Lamar, ¡Mayday!, Kendall Morgan)","Something Else (All Access Edition)","Tech N9ne","236000","5","18","","182"
"Fragile Male For Sale","Annabel Dream Reader","The Wytches","227000","5","16","","180"
"Freak Like Me","The Strange Case Of...","Halestorm","218000","5","13","","152"
"Freedom of Speech","Revolutionary, Vol.2 (Parental Advisory)","Immortal Technique","187000","5","14","","303"
"Free (feat. Tech N9ne &amp; Krizz Kaliko)","Speaking of the Devil","Aqualeo","329000","5","20","","139"
"Friendly Fires","Better Nature","Silversun Pickups","328000","5","15","","53"
"Furr","Furr","Blitzen Trapper","247000","5","11","","351"
"Get Crunk","I&#39;m Not A Fan, But The Kids Like It","brokeNCYDE","263000","5","13","","104"
"Get Em Boyz","Goonies Never Die","The Instant Messengers","139000","5","20","","286"
"Getting Naked, Playing with Guns","Christmas Island","Andrew Jackson Jihad","198000","5","9","","6"
"Girl From Gore","Breakfast At Fatboys","Butterfingers","141000","5","18","","219"
"Go","The Cold Light of Day","Dialectrix","187000","5","19","","129"
"Gremlin","King of Pain EP","Madchild","220000","5","19","","73"
"Guyamas Sonora","The Flying Club Cup","Beirut","211000","5","9","","327"
"Hallway Homicide","Remember When","The Orwells","151000","5","48","","184"
"Halo","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","253000","5","36","","255"
"Happy Hippie Birthday","I Thought I Was An Alien","Soko","241000","5","8","","330"
"Hard To Explain","Is This It","The Strokes","224000","5","9","","8"
"Hater Monkeys","Fuq-n-es-kay","Scene Kidz","174000","5","8","","98"
"Haunted","Bloody Radio","Grayskul","169000","5","9","","22"
"Hear Me Now","American Tragedy (Deluxe Edition)","Hollywood Undead","214000","5","10","","99"
"Heart Attack (Instrumental)","Heart Attack","Necro","203000","5","6","","320"
"Heart Remains","Voyager","Joelistics","394000","5","14","","193"
"Heart Skipped A Beat","xx","The xx","242000","5","11","","350"
"Heavyweight Champion of the World","Walls Have Ears-21 Years of Wall of Sound","Reverend And The Makers","204000","5","15","","136"
"Helicopter","Pocket Full of Dreams","Diafrix","164000","5","9","","112"
"Heroes of Our Time","Ultra Beatdown","Dragonforce","435000","5","8","","17"
"Hey Little World","The Black And White Album","The Hives","202000","5","19","","138"
"Hey Now","New Glow","Matt and Kim","169000","5","15","","52"
"High Road (feat. John Legend)","The Rising Tied","Fort Minor","196000","5","10","","163"
"High Tension","Once Upon a Crime","Necro","187000","5","17","","283"
"Hit That","Splinter","The Offspring","169000","5","19","","78"
"Hold On","Chocolate Starfish And The Hot Dog Flavored Water","Limp Bizkit","347000","5","11","","337"
"Holla-Loo-Yuh (feat. Krizz Kaliko &amp; Tech N9ne)","Legends Never Die","R.A. The Rugged Man","192000","5","17","","92"
"Hollywood","Art vs. Science","Art vs. Science","285000","5","14","","223"
"Hollywood Drive By (feat. PsychoRealm &amp; Sick Symphonies)","The 3rd World","Immortal Technique","288000","5","15","","298"
"Homeland &amp; Hip Hop (feat. Mumia Abu Jamal)","Revolutionary, Vol.2 (Parental Advisory)","Immortal Technique","164000","5","11","","308"
"I Been Dope (feat. Tech N9ne)","Black Gold","Kutt Calhoun","273000","5","16","","190"
"I Came to Party","Nine Lives","Deuce","219000","5","14","","156"
"ICANTDOITALONE","WANT (Deluxe)","3OH!3","180000","5","11","","103"
"I Don&#39;t Fuck With You (feat. E-40)","Dark Sky Paradise (Deluxe)","Big Sean","284000","5","12","","137"
"I Got You","He Will Have His Way - The Songs Of Tim &amp; Neil Finn","Philadelphia Grand Jury","192000","5","26","","238"
"I Love Work","Breakfast At Fatboys","Butterfingers","252000","5","31","","217"
"Industrial Revolution","Revolutionary, Vol.2 (Parental Advisory)","Immortal Technique","218000","5","20","","306"
"Instant Disassembly","Sunbathing Animal","Parquet Courts","432000","5","41","","295"
"Instinct Blues","Get Behind Me Satan","The White Stripes","256000","5","15","","347"
"In the Army Now","Never Hungover Again","Joyce Manor","141000","5","11","","101"
"In The Morning","Razorlight","Razorlight","222000","5","21","","41"
"It Takes a Seven Nation Army to Hold Us Back (feat. Emilio Lopez)","Where&#39;s Your Album?!!","Apathy","183000","5","45","","86"
"I Wanna Dance (But I Don&#39;t Know How)","Manhattan","Skaters","178000","5","36","","263"
"Jack Ruby (feat, Kappa Gamma)","Connecticut Casual","Apathy","189000","5","32","","89"
"Jam Hot","The &#39;Umu","Koolism","236000","5","22","","204"
"Jam Packed","Code Name: Scorpion","Code Name: Scorpion","242000","5","16","","285"
"Juggernaut","Beautiful Death Machine","Swollen Members","208000","5","19","","39"
"Kill Shit","Kickin&#39; &amp; Screamin&#39;","Krizz Kaliko","240000","5","13","","174"
"Kilojoules","Weathervanes","Freelance Whales","199000","5","10","","322"
"King Kunta","To Pimp A Butterfly","Kendrick Lamar","234000","5","16","","234"
"King Of The Rodeo","Side Stepper","The Bamboos","228000","5","13","","258"
"Kiss Me I&#39;m #!@&#39;faced","Blackout","Dropkick Murphys","334000","5","13","","77"
"Landing","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","237000","5","27","","253"
"Land Locked Blues","I&#39;m Wide Awake, It&#39;s Morning","Bright Eyes","347000","5","14","","148"
"Last Resort","Infest","Papa Roach","199000","5","13","","345"
"Learnt My Lesson Well","Yours Truly, Angry Mob (Deluxe)","Kaiser Chiefs","233000","5","25","","133"
"Leave Me Alone","Too","FIDLAR","200000","5","93","","280"
"Let It Burn","Disgraceland","The Orwells","209000","5","32","","293"
"Let Me Finish","Drowners","Drowners","151000","5","8","","0"
"Let&#39;s Get It Crackin&#39;","Nine Lives","Deuce","288000","5","11","","159"
"Life&#39;s a Bitch","Illumanation","Aqualeo","251000","5","16","","47"
"Lights And Camera","Nocturnal","Yuna","214000","5","7","","354"
"Light Show (feat. D-Sisive)","Age Like Astronauts","Sweatshop Union Presents: Pigeon Hole","239000","5","28","","42"
"Light The Match","Advisory Committee","Mirah","179000","5","11","","328"
"Like Real People Do","Take Me to Church EP","Hozier","197000","5","7","","349"
"Lipstick","Nothing to Do","Bleeding Knees Club","183000","5","27","","271"
"Little Miss Pipedream","Proudly Present... A Guide To Love, Loss &amp; Desperation","The Wombats","252000","5","13","","19"
