"Brick","Rock (Hip Cuts)","Ben Folds Five","270000","0","0",""
"Broken","Plastic Beach","Gorillaz","197000","0","1",""
"Brompton Cocktail","Avenged Sevenfold","Avenged Sevenfold","252000","0","11",""
"Buckshot","Let It Burn","Datsik","272000","0","1",""
"Bukowski","Good News For People Who Love Bad News","Modest Mouse","254000","0","7",""
"Bury Me With It","Good News For People Who Love Bad News","Modest Mouse","229000","0","10",""
"California And The Slipping Of The Sun","The Fall","Gorillaz","204000","0","0",""
"Calling All Cars","Big Black Hole And The Little Baby Star","Sean Hayes","242000","0","0",""
"Cardboard Castles","Cardboard Castles","Watsky","248000","0","1",""
"Caught Like A Fly","The Drug In Me Is You","Falling In Reverse","276000","1","19",""
"Champagne Supernova","Time Flies...1994-2009","Oasis","453000","0","2",""
"Chant","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","208000","0","20",""
"Child 2 Man","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","351000","0","8",""
"Children of God","Christmas Island","Andrew Jackson Jihad","126000","0","1",""
"Clint Eastwood","Gorillaz","Gorillaz","340000","0","1",""
"Clint Eastwood","Gorillaz","Gorillaz","269000","0","1",""
"Closer To The Sun","Let It Burn","Datsik &amp; Bais Haus","427000","0","1",""
"Cloud of Unknowing (feat. Bobby Womack and sinfonia ViVA)","Plastic Beach","Gorillaz","186000","0","1",""
"Cody&#39;s Theme","The Bible 2","AJJ","123000","0","1",""
"Coffin Dance","Christmas Island","Andrew Jackson Jihad","199000","0","1",""
"Color Blue","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","245000","0","23",""
"Countdown","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","187000","0","11",""
"Critical Acclaim","Avenged Sevenfold","Avenged Sevenfold","314000","0","12",""
"Crystal Stilts","Alight of Night","Crystal Stilts","177000","0","1",""
"Cult Romance","Tom Ugly EP","Tom Ugly","235000","5","48",""
"Cum On Everybody","The Slim Shady LP","Eminem","219000","0","1",""
"Dance Hall","Good News For People Who Love Bad News","Modest Mouse","177000","0","9",""
"DARE (feat. Shaun Ryder)","Demon Days","Gorillaz","245000","0","2",""
"Dark Center Of The Universe","The Moon &amp; Antarctica","Modest Mouse","303000","0","0",""
"Dashboard","We Were Dead Before The Ship Even Sank","Modest Mouse","246000","0","1",""
"Day Off","Infinite","Sweatshop Union","181000","0","14",""
"Day of the Weird Beginning (2010 Clean Mix)","eXpo","B6","341000","0","0",""
"Dear God","Avenged Sevenfold","Avenged Sevenfold","393000","0","7",""
"Dear Ramona","Sunbathing Animal","Parquet Courts","154000","0","23",""
"Deathlessness","Christmas Island","Andrew Jackson Jihad","220000","0","1",""
"Dedicated to Christina Li","Cardboard Castles","Watsky","335000","0","0",""
"Demon Days","Demon Days","Gorillaz","268000","0","2",""
"Detroit","The Fall","Gorillaz","123000","0","0",""
"Dig Your Grave","Good News For People Who Love Bad News","Modest Mouse","12000","0","10",""
"Dirty Harry","Demon Days","Gorillaz","230000","0","4",""
"Distance","Knife Man","AJJ","153000","0","3",""
"Dogs Were Barking","Gypsy Punks: Underdog World Strike","Gogol Bordello","293000","0","4",""
"Don And Sherri (Original Mix)","Don And Sherri","Matthew Dear","204000","0","0",""
"Don&#39;t Blame Me","The Columbia Years &#39;62-&#39;68","Thelonious Monk","347000","0","0",""
"Don&#39;t Get Lost In Heaven","Demon Days","Gorillaz","131000","0","2",""
"Don&#39;t Look Back In Anger","Familiar To Millions","Oasis","328000","0","1",""
"Don&#39;t Mess With Ouija Boards","The Drug In Me Is You","Falling In Reverse","295000","0","9",""
"Do, Re, and Me","Christmas Island","Andrew Jackson Jihad","119000","0","1",""
"Double Bass","Gorillaz","Gorillaz","286000","0","2",""
"Dracula","Gorillaz","Gorillaz","281000","0","1",""
"Drifting","Hello Hello","Midival Punditz","203000","0","0",""
"Drone","Too","FIDLAR","168000","0","72",""
"Ducking &amp; Dodging","Sunbathing Animal","Parquet Courts","269000","5","34",""
"East Side Swing","Let It Burn","Datsik","236000","0","2",""
"Easy Living","Beautiful Ballads &amp; Love Songs","Billie Holliday","183000","0","0",""
"Education","We Were Dead Before The Ship Even Sank","Modest Mouse","236000","0","1",""
"El Manana","Demon Days","Gorillaz","236000","0","3",""
"Empire Ants (feat. Little Dragon)","Plastic Beach","Gorillaz","283000","0","2",""
"Everybody&#39;s Ugly","Everybody&#39;s Jesus","Butterfingers","165000","0","4",""
"Everybody&#39;s Ugly","The Deeper You Dig","Butterfingers","148000","0","1",""
"Every Planet We Reach Is Dead","Demon Days","Gorillaz","295000","0","3",""
"Every Road","Love Alive (Bonus Track Version)","Jay-J, Big Brooklyn Red","227000","0","0",""
"Everytime","Breakfast At Fatboys","Butterfingers","262000","5","21",""
"Everytime (feat. Del the Funky Homosapien &amp; Adrian Hartley)","Spectacle","Mike Relm","188000","0","0",""
"Family Reunion","Infinite","Sweatshop Union","250000","0","10",""
"Fantasy","Tom Ugly EP","Tom Ugly","277000","0","23",""
"Feed (feat. Snak the Ripper and Def 3)","Infinite","Sweatshop Union","231000","0","12",""
"Feel Good Inc","Demon Days","Gorillaz","222000","0","4",""
"FIGJAM","The Deeper You Dig","Butterfingers","214000","0","4",""
"Fire Coming Out Of The Monkey&#39;s Head","Demon Days","Gorillaz","198000","0","2",""
"Fire It Up","We Were Dead Before The Ship Even Sank","Modest Mouse","274000","0","1",""
"Fireworks","Cardboard Castles","Watsky","152000","0","1",""
